
Image Name                     PID Session Name        Session#    Mem Usage
language_server_windows_x    17016 Console                    7    451,396 K
conhost.exe                  26860 Console                    7      1,604 K
Antigravity.exe              21500 Console                    7     68,464 K
Antigravity.exe              10704 Console                    7    244,692 K
Antigravity.exe              20968 Console                    7     23,536 K
Antigravity.exe              28012 Console                    7     10,928 K
node.exe                     22576 Console                    7      1,600 K
cmd.exe                      25176 Console                    7        888 K
node.exe                     28540 Console                    7  1,130,920 K
node.exe                     26684 Console                    7      2,300 K
node.exe                     27352 Console                    7      3,160 K
node.exe                     21620 Console                    7      1,860 K
node.exe                      4012 Console                    7     51,888 K
ShellHost.exe                28268 Console                    7     12,792 K
conhost.exe                  15364 Console                    7      6,436 K
cmd.exe                      11452 Console                    7      5,100 K
node.exe                      6648 Console                    7     33,780 K
cmd.exe                      18588 Console                    7      5,620 K
node.exe                     16944 Console                    7    362,076 K
node.exe                     18460 Console                    7     63,300 K
node.exe                     17468 Console                    7     94,344 K
node.exe                     20884 Console                    7     81,216 K
node.exe                     10176 Console                    7     73,412 K
postgres.exe                  5080 Services                   0     17,248 K
postgres.exe                 23524 Services                   0     15,620 K
msedge.exe                    9720 Console                    7    148,652 K
msedge.exe                   14764 Console                    7     12,740 K
msedge.exe                   12448 Console                    7     39,632 K
msedge.exe                    7020 Console                    7     43,520 K
msedge.exe                   15744 Console                    7     20,156 K
msedge.exe                    1168 Console                    7     80,452 K
msedge.exe                     160 Console                    7     29,248 K
postgres.exe                  8316 Services                   0     18,336 K
postgres.exe                 15552 Services                   0     17,780 K
postgres.exe                 21272 Services                   0     17,920 K
postgres.exe                 13484 Services                   0     17,944 K
postgres.exe                 13992 Services                   0     17,956 K
postgres.exe                 26040 Services                   0     17,992 K
postgres.exe                 24204 Services                   0     17,844 K
svchost.exe                  17464 Services                   0     35,204 K
smartscreen.exe              13956 Console                    7     12,768 K
chrome.exe                   14092 Console                    7     33,776 K
postgres.exe                 23044 Services                   0     17,832 K
tasklist.exe                 25792 Console                    7     11,740 K
